fecha,titulo,autor(a),categoria,periodico,enlace
2023-05-11 12:48:00,Arrestan tres por fraude bancario con supuestos cheques de seguro,CyberNews,Policiacas,Noticel,https://www.noticel.com/policiacas/la-calle/20230511/arrestan-tres-por-fraude-bancario-con-supuestos-cheques-de-seguro/
2023-05-11 12:38:00,Avalancha de desechos de paneles solares y baterías se espera en próximas décadas,Leoncio Pineda Dattari,Ambiente,Noticel,https://www.noticel.com/ambiente/legislatura/ahora/top-stories/20230511/avalancha-de-desechos-de-paneles-solares-y-baterias-se-espera-en-proximas-decadas/
2023-05-11 12:15:00,"DRNA confirma que propiedad en La Parguera no es de Jenniffer González, pero no dice si es de la suegra",CyberNews,Ahora,Noticel,https://www.noticel.com/ahora/20230511/drna-confirma-que-propiedad-en-la-parguera-no-es-de-jenniffer-gonzalez-pero-no-dice-si-es-de-la-sue/
2023-05-11 11:54:00,Lo matan de un tiro en la cabeza en Fajardo,NotiCel,Policiacas,Noticel,https://www.noticel.com/policiacas/la-calle/20230511/lo-matan-de-un-tiro-en-la-cabeza-en-fajardo/
2023-05-11 11:50:00,Junta considera cargo en la factura de la luz de $13 para residencias,NotiCel,Ahora,Noticel,https://www.noticel.com/ahora/top-stories/20230511/junta-considera-cargo-en-la-factura-de-la-luz-de-13-para-residencias/
2023-05-11 11:10:00,Ascienden a 26 los muertos en nuevo ataque de Israel a Gaza,EFE,Mundo,Noticel,https://www.noticel.com/mundo/20230511/ascienden-a-26-los-muertos-en-nuevo-ataque-de-israel-a-gaza/
2023-05-11 11:10:00,Federales radican cargos contra dos por construcción ilegal en la Bahía Jobos,NotiCel,Ahora,Noticel,https://www.noticel.com/ahora/top-stories/20230511/federales-radican-cargos-contra-dos-por-construccion-ilegal-en-la-bahia-jobos/
2023-05-11 10:38:00,Listo el itinerario de la Copa Metropolitana de sóftbol masculino,NotiCel,Deportes,Noticel,https://www.noticel.com/deportes/20230511/listo-el-itinerario-de-la-copa-metropolitana-de-softbol-masculino/
2023-05-11 10:34:00,Interrupciones del servicio de agua en Toa Alta y Bayamón,NotiCel,La-Calle,Noticel,https://www.noticel.com/la-calle/20230511/interrupciones-del-servicio-de-agua-en-toa-alta-y-bayamon/
2023-05-11 10:00:00,"Tras su juicio con Johnny Depp, Amber Heard se muda de Estados Unidos",EFE,Fama,Noticel,https://www.noticel.com/fama/pop/mundo/20230511/tras-su-juicio-con-johnny-depp-amber-heard-se-muda-de-estados-unidos/
2023-05-11 10:00:00,Música y bohemia para las madres es lo que predomina este wikén,NotiCel,Pop,Noticel,https://www.noticel.com/pop/vida/20230511/musica-y-bohemia-para-las-madres-es-lo-que-predomina-este-wiken/
2023-05-11 09:49:00,Despedida final de Mundi; hoy sale hacia su próximo hogar,NotiCel,La-Calle,Noticel,https://www.noticel.com/la-calle/ahora/top-stories/20230511/despedida-final-de-mundi-hoy-sale-hacia-su-proximo-hogar/
2023-05-11 09:40:00,Asesinan hombre a plena luz del día en Caimito,NotiCel,Policia,Noticel,https://www.noticel.com/policia/gobierno/ahora/la-calle/20230511/asesinan-hombre-a-plena-luz-del-dia-en-caimito/
2023-05-11 09:16:00,Roban en tres tiendas de Plaza las Américas,NotiCel,Comercio,Noticel,https://www.noticel.com/comercio/economia/policiacas/20230511/roban-en-tres-tiendas-de-plaza-las-americas/
2023-05-11 09:04:00,Mujer asesinada por su expareja era perseguida desde hace días,NotiCel,Policiacas,Noticel,https://www.noticel.com/policiacas/la-calle/20230511/mujer-asesinada-por-su-expareja-era-perseguida-desde-hace-dias/
2023-05-11 08:23:00,No se rinden los Warriors,EFE,Nba,Noticel,https://www.noticel.com/nba/baloncesto/deportes/20230511/no-se-rinden-los-warriors/
2023-05-11 07:45:00,Así está el tránsito en la mañana del jueves,CyberNews,Transito,Noticel,https://www.noticel.com/transito/la-calle/20230511/asi-esta-el-transito-en-la-manana-del-jueves-14/
2023-05-11 07:25:00,Policía investiga cuatro carjackings reportados durante la noche,CyberNews,Policiacas,Noticel,https://www.noticel.com/policiacas/la-calle/20230511/policia-investiga-cuatro-carjackings-reportados-durante-la-noche/
2023-05-11 06:51:00,Guaynabo se queda con el liderato de la Metro,NotiCel,Doble-A,Noticel,https://www.noticel.com/doble-a/beisbol/deportes/20230511/guaynabo-se-queda-con-el-liderato-de-la-metro/
2023-05-11 06:41:00,Siguen hoy las altas temperaturas y los índices de calor,CyberNews,El-Tiempo,Noticel,https://www.noticel.com/el-tiempo/20230511/siguen-hoy-las-altas-temperaturas-y-los-indices-de-calor/
2023-05-11 05:45:00,Advierten que no hay programa para disponer de placas solares y baterías en desuso,Antonio Gómez/ Especial para NotiCel,Ahora,Noticel,https://www.noticel.com/ahora/top-stories/20230511/advierten-que-no-hay-programa-para-disponer-de-placas-solares-y-baterias-en-desuso/
2023-05-11 05:45:00,"Vivienda tiene presupuesto de $1,376 millones para el fiscal 2024",Antonio Gómez/ Especial para NotiCel,Ahora,Noticel,https://www.noticel.com/ahora/top-stories/20230511/vivienda-tiene-presupuesto-de-1376-millones-para-el-fiscal-2024/
2023-05-11 05:45:00,¿Qué es el Título 42 y qué pasa en la frontera de Estados Unidos?,EFE,Estados-Unidos,Noticel,https://www.noticel.com/estados-unidos/mundo/top-stories/20230511/que-es-el-titulo-42-y-que-pasa-en-la-frontera-de-estados-unidos/
2023-05-11 05:45:00,Natal ‘olvidó’ reportar el 89% de sus ingresos y Romero el 59% de los suyos,Oscar J. Serrano,Politica,Noticel,https://www.noticel.com/politica/ahora/top-stories/20230511/natal-olvido-reportar-el-89-de-sus-ingresos-y-romero-el-59-de-los-suyos/
2023-05-11 05:45:00,Crece como la espuma caso de acoso sexual del alcalde de Trujillo Alto,Leoncio Pineda Dattari,Ahora,Noticel,https://www.noticel.com/ahora/politica/top-stories/20230511/crece-como-la-espuma-caso-de-acoso-sexual-del-alcalde-de-trujillo-alto/
2023-05-10 22:56:00,Corozal ganó el parcial protestado por Santurce,NotiCel,Deportes,Noticel,https://www.noticel.com/deportes/top-stories/20230510/corozal-gano-el-parcial-protestado-por-santurce/
2023-05-10 22:26:00,Colegio de Trabajadores Sociales recomienda que se incluya alianza con la UPR en medida de sinhogarismo,Naysha Zamira Padró,Ahora,Noticel,https://www.noticel.com/ahora/gobierno/20230510/colegio-de-trabajadores-sociales-recomienda-que-se-incluya-alianza-con-la-upr-en-medida-de-sinhogari-2/
2023-05-10 21:01:00,"Antetokounmpo, Doncic, Embiid, Tatum y Gilgeous-Alexander, el quinteto del año en la NBA",EFE,Nba,Noticel,https://www.noticel.com/nba/baloncesto/deportes/20230510/antetokounmpo-doncic-embiid-tatum-y-gilgeous-alexander-el-quinteto-del-ano-en-la-nba/
2023-05-10 19:18:00,Mujeres Progresistas piden a Justicia investigación contra el alcalde de Trujillo Alto,NotiCel,La-Calle,Noticel,https://www.noticel.com/la-calle/policiacas/20230510/mujeres-progresistas-piden-a-justicia-investigacion-contra-el-alcalde-de-trujillo-alto/
